pokedex_number,name,type1,type2,isGround,isDragon,isBug,isRock,isDark,isElectric,isFairy,isGrass,isIce,isSteel,isFighting,isPsychic,isNormal,isFire,isPoison,isWater,isGhost,isFlying,imagePath
37,Vulpix,fire,ice,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/037.png
38,Ninetales,fire,ice,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/038.png
39,Jigglypuff,normal,fairy,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/039.png
40,Wigglytuff,normal,fairy,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/040.png
41,Zubat,poison,flying,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/041.png
42,Golbat,poison,flying,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/042.png
43,Oddish,grass,poison,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/043.png
44,Gloom,grass,poison,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/044.png
45,Vileplume,grass,poison,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/045.png
46,Paras,bug,grass,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/046.png
47,Parasect,bug,grass,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/047.png
48,Venonat,bug,poison,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/048.png
49,Venomoth,bug,poison,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/049.png
50,Diglett,ground,ground,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/050.png
51,Dugtrio,ground,ground,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/051.png
52,Meowth,normal,dark,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/052.png
53,Persian,normal,dark,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/053.png
54,Psyduck,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/054.png
55,Golduck,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/055.png
56,Mankey,fighting,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/056.png
57,Primeape,fighting,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/057.png
58,Growlithe,fire,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/058.png
59,Arcanine,fire,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/059.png
60,Poliwag,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/060.png
61,Poliwhirl,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/061.png
62,Poliwrath,water,fighting,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/062.png
63,Abra,psychic,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/063.png
64,Kadabra,psychic,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/064.png
65,Alakazam,psychic,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/065.png
66,Machop,fighting,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/066.png
67,Machoke,fighting,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/067.png
68,Machamp,fighting,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/068.png
69,Bellsprout,grass,poison,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/069.png
70,Weepinbell,grass,poison,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/070.png
71,Victreebel,grass,poison,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/071.png
72,Tentacool,water,poison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/072.png
73,Tentacruel,water,poison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/073.png
74,Geodude,rock,ground,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/074.png
75,Graveler,rock,ground,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/075.png
76,Golem,rock,ground,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/076.png
77,Ponyta,fire,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/077.png
78,Rapidash,fire,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/078.png
79,Slowpoke,water,psychic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/079.png
80,Slowbro,water,psychic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/080.png
81,Magnemite,electric,steel,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/081.png
82,Magneton,electric,steel,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/082.png
83,Farfetch'd,normal,flying,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/083.png
84,Doduo,normal,flying,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/084.png
85,Dodrio,normal,flying,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/085.png
86,Seel,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/086.png
87,Dewgong,water,ice,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/087.png
88,Grimer,poison,poison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/088.png
89,Muk,poison,poison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/089.png
90,Shellder,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/090.png
91,Cloyster,water,ice,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/091.png
92,Gastly,ghost,poison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/092.png
93,Haunter,ghost,poison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/093.png
94,Gengar,ghost,poison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/094.png
95,Onix,rock,ground,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/095.png
96,Drowzee,psychic,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/096.png
97,Hypno,psychic,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/097.png
98,Krabby,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/098.png
99,Kingler,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/099.png
100,Voltorb,electric,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/100.png
101,Electrode,electric,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/101.png
102,Exeggcute,grass,psychic,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/102.png
103,Exeggutor,grass,psychic,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/103.png
104,Cubone,ground,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/104.png
105,Marowak,ground,fire,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/105.png
106,Hitmonlee,fighting,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/106.png
107,Hitmonchan,fighting,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/107.png
108,Lickitung,normal,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/108.png
109,Koffing,poison,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/109.png
110,Weezing,poison,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/110.png
111,Rhyhorn,ground,rock,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/111.png
112,Rhydon,ground,rock,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/112.png
113,Chansey,normal,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/113.png
114,Tangela,grass,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/114.png
115,Kangaskhan,normal,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/115.png
116,Horsea,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/116.png
117,Seadra,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/117.png
118,Goldeen,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/118.png
119,Seaking,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/119.png
120,Staryu,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/120.png
121,Starmie,water,psychic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/121.png
122,Mr. Mime,psychic,fairy,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/122.png
123,Scyther,bug,flying,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/123.png
124,Jynx,ice,psychic,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/124.png
125,Electabuzz,electric,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/125.png
126,Magmar,fire,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/126.png
127,Pinsir,bug,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/127.png
128,Tauros,normal,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/128.png
129,Magikarp,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/129.png
130,Gyarados,water,flying,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/130.png
131,Lapras,water,ice,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/131.png
132,Ditto,normal,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/132.png
133,Eevee,normal,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/133.png
134,Vaporeon,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/134.png
135,Jolteon,electric,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/135.png
136,Flareon,fire,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/136.png
137,Porygon,normal,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/137.png
138,Omanyte,rock,water,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/138.png
139,Omastar,rock,water,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/139.png
140,Kabuto,rock,water,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/140.png
141,Kabutops,rock,water,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/141.png
142,Aerodactyl,rock,flying,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/142.png
143,Snorlax,normal,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/143.png
144,Articuno,ice,flying,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/144.png
145,Zapdos,electric,flying,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/145.png
146,Moltres,fire,flying,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/146.png
147,Dratini,dragon,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/147.png
148,Dragonair,dragon,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/148.png
149,Dragonite,dragon,flying,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/149.png
150,Mewtwo,psychic,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/150.png
151,Mew,psychic,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/151.png
152,Chikorita,grass,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/152.png
153,Bayleef,grass,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/153.png
154,Meganium,grass,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/154.png
155,Cyndaquil,fire,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/155.png
156,Quilava,fire,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/156.png
157,Typhlosion,fire,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/157.png
158,Totodile,water,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,/Users/robdewit/Documents/example-pokemon-classifier/data/processed/pokemon/158.png
